review_text,product_category,price,rating
"Works as expected, decent value.",Home Appliances,480.24,2
"Satisfied with the purchase, value for money.",Sports Equipment,341.25,5
"Good for the price, meets expectations.",Electronics,174.19,5
"Amazing features, very useful.",Home Appliances,176.98,1
"Excellent product, highly recommend!",Toys,247.34,1
"Excellent product, highly recommend!",Sports Equipment,164.75,4
"Good for the price, meets expectations.",Home Appliances,322.72,3
"Works as expected, decent value.",Electronics,80.15,3
"Works as expected, decent value.",Electronics,28.9,5
"Terrible quality, not worth the price.",Toys,385.06,5
"Excellent product, highly recommend!",Home Appliances,90.68,4
"Excellent product, highly recommend!",Toys,223.71,1
"Excellent product, highly recommend!",Sports Equipment,196.38,3
"Quality is good, but overpriced.",Toys,169.69,4
"Could be better, not very durable.",Electronics,283.6,4
"Could be better, not very durable.",Toys,398.8,1
"Very disappointed, it broke after one use.",Toys,423.14,1
"Good for the price, meets expectations.",Sports Equipment,449.79,2
"Could be better, not very durable.",Electronics,208.81,4
"Very disappointed, it broke after one use.",Home Appliances,299.94,3
"Quality is good, but overpriced.",Toys,474.69,5
"Amazing features, very useful.",Home Appliances,329.51,3
"Terrible quality, not worth the price.",Electronics,410.89,3
Fantastic! Will buy again.,Home Appliances,110.53,5
"Could be better, not very durable.",Toys,387.34,3
"Works as expected, decent value.",Toys,22.93,1
"Quality is good, but overpriced.",Sports Equipment,207.68,3
"Amazing features, very useful.",Toys,350.55,5
"Excellent product, highly recommend!",Office Supplies,454.18,2
"Very disappointed, it broke after one use.",Sports Equipment,448.76,3
"Very disappointed, it broke after one use.",Toys,104.59,4
"Works as expected, decent value.",Electronics,450.88,3
"Excellent product, highly recommend!",Electronics,373.05,5
"Could be better, not very durable.",Toys,33.94,1
"Very disappointed, it broke after one use.",Office Supplies,280.23,4
"Could be better, not very durable.",Office Supplies,308.18,2
"Terrible quality, not worth the price.",Sports Equipment,278.26,4
"Could be better, not very durable.",Home Appliances,146.19,3
"Good for the price, meets expectations.",Office Supplies,161.15,5
"Excellent product, highly recommend!",Toys,190.33,4
"Excellent product, highly recommend!",Office Supplies,483.51,2
"Works as expected, decent value.",Toys,225.4,2
"Could be better, not very durable.",Office Supplies,431.02,1
"Satisfied with the purchase, value for money.",Electronics,85.31,4
"Good for the price, meets expectations.",Sports Equipment,310.62,2
"Could be better, not very durable.",Toys,164.63,2
"Works as expected, decent value.",Sports Equipment,464.46,3
"Excellent product, highly recommend!",Toys,356.2,2
Fantastic! Will buy again.,Office Supplies,210.83,4
Fantastic! Will buy again.,Toys,208.82,3
"Amazing features, very useful.",Toys,463.13,4
Fantastic! Will buy again.,Sports Equipment,372.61,5
"Quality is good, but overpriced.",Toys,233.05,3
Fantastic! Will buy again.,Electronics,267.59,4
"Works as expected, decent value.",Sports Equipment,351.98,2
"Very disappointed, it broke after one use.",Office Supplies,260.75,3
"Amazing features, very useful.",Home Appliances,374.8,5
"Could be better, not very durable.",Home Appliances,171.49,3
Fantastic! Will buy again.,Toys,225.58,4
"Very disappointed, it broke after one use.",Home Appliances,121.58,3
"Works as expected, decent value.",Home Appliances,399.44,2
Fantastic! Will buy again.,Office Supplies,415.52,3
"Very disappointed, it broke after one use.",Home Appliances,412.34,1
"Terrible quality, not worth the price.",Home Appliances,383.9,5
"Amazing features, very useful.",Electronics,28.66,2
"Excellent product, highly recommend!",Home Appliances,314.41,3
"Quality is good, but overpriced.",Toys,469.92,1
"Good for the price, meets expectations.",Electronics,301.68,4
"Could be better, not very durable.",Electronics,238.06,4
"Works as expected, decent value.",Electronics,228.75,2
"Excellent product, highly recommend!",Office Supplies,360.68,4
Fantastic! Will buy again.,Office Supplies,259.96,3
Fantastic! Will buy again.,Office Supplies,349.38,1
"Amazing features, very useful.",Office Supplies,162.3,3
"Works as expected, decent value.",Sports Equipment,459.44,5
"Amazing features, very useful.",Electronics,66.51,2
"Good for the price, meets expectations.",Office Supplies,140.9,5
"Works as expected, decent value.",Electronics,172.58,2
"Quality is good, but overpriced.",Toys,94.16,1
"Works as expected, decent value.",Office Supplies,101.22,5
"Could be better, not very durable.",Toys,184.56,3
"Very disappointed, it broke after one use.",Office Supplies,197.66,3
Fantastic! Will buy again.,Toys,247.62,5
"Excellent product, highly recommend!",Home Appliances,372.79,5
"Excellent product, highly recommend!",Sports Equipment,81.62,3
"Terrible quality, not worth the price.",Sports Equipment,227.65,5
"Satisfied with the purchase, value for money.",Home Appliances,33.71,4
Fantastic! Will buy again.,Home Appliances,460.98,2
"Good for the price, meets expectations.",Sports Equipment,468.2,2
